Finance Canonical Model:

| Domain                                | Type            | Entity / Concept                          | What it represents                                                | Key relationships                                                   | Confidence                          |
| ------------------------------------- | --------------- | ----------------------------------------- | ----------------------------------------------------------------- | ------------------------------------------------------------------- | ----------------------------------- |
| **Finance Foundation**                | Entity          | **Legal Entity**                          | Legal company/entity that owns financial activity                 | Legal Entity → GL, Accounts, Contracts, Employees, Vendors          | 🔵 Essential                        |
|                                       | Dimension       | **Business Unit**                         | Organizational unit used for management reporting                 | BU → Accounts, Products, Cost Centers, Revenue, Expenses            | 🔵 Essential                        |
|                                       | Dimension       | **Department / Cost Center**              | Organizational ownership of spend and resources                   | Cost Center → Employees, Vendors, Expenses, Budget                  | 🔵 Essential                        |
|                                       | Dimension       | **Chart of Accounts**                     | Canonical classification of financial transactions                | Account → Journal Entries, Revenue, COGS, OpEx, Assets, Liabilities | 🔵 Essential                        |
|                                       | Dimension       | **Currency**                              | Transaction, functional, and reporting currency                   | Currency → Transactions, Accounts, Entities, FX Rates               | 🔵 Essential                        |
|                                       | Dimension       | **Fiscal Period**                         | Accounting/reporting period                                       | Period → Journal Entries, Close, Budget, Forecast, Statements       | 🔵 Essential                        |
|                                       | Dimension       | **Accounting Standard / Book**            | Accounting basis used for reporting                               | Book → GL, Revenue Recognition, Assets, Financial Statements        | 🟢 High                             |
|                                       | Dimension       | **Scenario**                              | Actual, Budget, Forecast, Plan, Latest Estimate, etc.             | Scenario → Financial Metrics, Period, Entity                        | 🔵 Essential                        |
| **General Ledger / Accounting**       | Transaction     | **Journal Entry**                         | Atomic accounting transaction                                     | JE → GL Account, Entity, Period, Source Transaction                 | 🔵 Essential                        |
|                                       | Transaction     | **Journal Entry Line**                    | Debit/credit-level accounting detail                              | JE Line → Account, Cost Center, Entity, Amount                      | 🔵 Essential                        |
|                                       | Entity          | **General Ledger Account**                | Account used to classify financial activity                       | GL Account → Journal Entries, Financial Statements                  | 🔵 Essential                        |
|                                       | State / History | **Accounting Close**                      | Status and process of closing a period                            | Close → Period, Reconciliations, Adjustments, Statements            | 🔵 Essential                        |
|                                       | Fact            | **Accounting Adjustment**                 | Manual or automated adjustment to financial results               | Adjustment → GL, Period, Account, Source                            | 🟢 High                             |
|                                       | Control         | **Reconciliation**                        | Agreement between subledger/source and GL                         | Reconciliation → Account, Source System, Period                     | 🔵 Essential                        |
| **Revenue & Order-to-Cash**           | Relationship    | **Customer / Account**                    | Commercial counterparty generating revenue                        | Account → Contract, Booking, Invoice, Payment, Revenue              | 🔵 Essential                        |
|                                       | Entity          | **Contract**                              | Legal/commercial agreement governing economics                    | Contract → Account, Products, Pricing, Terms, Revenue               | 🔵 Essential                        |
|                                       | Transaction     | **Order / Booking**                       | Commercial commitment created by GTM                              | Booking → Account, Opportunity, Product, Contract                   | 🔵 Essential                        |
|                                       | Transaction     | **Invoice**                               | Formal receivable raised against customer                         | Invoice → Account, Contract, Booking, Revenue, AR                   | 🔵 Essential                        |
|                                       | Fact            | **Invoice Line**                          | Product/service-level billing detail                              | Invoice Line → Invoice, Product, Contract                           | 🔵 Essential                        |
|                                       | Fact            | **Accounts Receivable**                   | Amount owed by customers                                          | AR → Invoice, Account, Payment, Aging                               | 🔵 Essential                        |
|                                       | Transaction     | **Customer Payment**                      | Cash received from customer                                       | Payment → Invoice, Account, Bank Account                            | 🔵 Essential                        |
|                                       | Derived Measure | **Days Sales Outstanding (DSO)**          | Average time to collect receivables                               | AR + Revenue + Time                                                 | 🔵 Essential                        |
|                                       | Derived Measure | **Collections Rate**                      | Percentage of receivables collected                               | Cash Collections ÷ Receivables                                      | 🟢 High                             |
| **Revenue Recognition**               | Entity / Policy | **Revenue Recognition Rule**              | Rules determining when revenue is recognized                      | Rule → Contract, Performance Obligation, Revenue                    | 🔵 Essential for accrual accounting |
|                                       | Entity          | **Performance Obligation**                | Distinct obligation delivered to customer                         | PO → Contract, Product/Service, Revenue Schedule                    | 🟢 High                             |
|                                       | Schedule        | **Revenue Recognition Schedule**          | Timing of recognized revenue                                      | Schedule → Contract, PO, Period, Revenue                            | 🔵 Essential for SaaS               |
|                                       | Fact            | **Deferred Revenue / Contract Liability** | Cash/billing received before revenue recognition                  | Deferred Revenue → Invoice, Contract, Revenue Schedule              | 🔵 Essential for SaaS               |
|                                       | Fact            | **Recognized Revenue**                    | Revenue recognized under accounting rules                         | Revenue → Contract, Product, Account, Period                        | 🔵 Essential                        |
| **Accounts Payable / Procure-to-Pay** | Entity          | **Vendor / Supplier**                     | Counterparty providing goods/services                             | Vendor → PO, Bill, Payment, Expense                                 | 🔵 Essential                        |
|                                       | Entity          | **Purchase Order**                        | Authorized commitment to purchase                                 | PO → Vendor, Product/Service, Cost Center, Budget                   | 🟢 High                             |
|                                       | Transaction     | **Vendor Bill / Invoice**                 | Amount owed to vendor                                             | Bill → Vendor, PO, GL Account, AP                                   | 🔵 Essential                        |
|                                       | Fact            | **Accounts Payable**                      | Amount owed to vendors                                            | AP → Bill, Vendor, Payment, Aging                                   | 🔵 Essential                        |
|                                       | Transaction     | **Vendor Payment**                        | Cash paid to vendor                                               | Payment → Bill, Vendor, Bank Account                                | 🔵 Essential                        |
|                                       | Derived Measure | **Days Payable Outstanding (DPO)**        | Average time taken to pay vendors                                 | AP + COGS/Spend + Time                                              | 🟢 High                             |
|                                       | Process         | **Three-Way Match**                       | PO → Receipt → Invoice validation                                 | PO × Receipt × Bill                                                 | 🟢 High                             |
| **Expenses & Spend**                  | Fact            | **Expense**                               | Economic cost incurred by company                                 | Expense → GL Account, Cost Center, Vendor/Employee, Period          | 🔵 Essential                        |
|                                       | Entity          | **Expense Report**                        | Employee-submitted business expenditure                           | Expense Report → Employee, Expense, Cost Center                     | 🟢 High                             |
|                                       | Fact            | **Accrued Expense**                       | Expense incurred but not yet invoiced/paid                        | Accrual → Vendor, GL, Period                                        | 🔵 Essential                        |
|                                       | Fact            | **Prepaid Expense**                       | Cash paid before expense is recognized                            | Prepaid → Vendor, Expense Account, Recognition Schedule             | 🟢 High                             |
|                                       | Schedule        | **Amortization Schedule**                 | Timing of prepaid/asset expense recognition                       | Schedule → Asset/Prepaid, Period, Expense                           | 🟢 High                             |
| **People / Payroll Finance**          | Entity          | **Employee**                              | Person generating compensation cost                               | Employee → Department, Cost Center, Compensation                    | 🔵 Essential                        |
|                                       | Entity          | **Compensation**                          | Salary, bonus, benefits, equity economics                         | Compensation → Employee, Period, Cost Center                        | 🔵 Essential                        |
|                                       | Transaction     | **Payroll**                               | Periodic employee compensation transaction                        | Payroll → Employee, Compensation, Taxes, Cash                       | 🔵 Essential                        |
